Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Italy,ITA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.21
Italy,ITA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.28
Italy,ITA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.8
Italy,ITA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.51
Italy,ITA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.86
Italy,ITA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.84
Italy,ITA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.37
Italy,ITA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.63
Italy,ITA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.8
Italy,ITA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.2
Italy,ITA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.24
Italy,ITA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.8
Italy,ITA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.6
Italy,ITA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.01
Italy,ITA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.19
Italy,ITA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.46
Italy,ITA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.67
Italy,ITA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.9
