Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Switzerland,CHE,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.08
Switzerland,CHE,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.36
Switzerland,CHE,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.16
Switzerland,CHE,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.4
Switzerland,CHE,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.5
Switzerland,CHE,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.4
Switzerland,CHE,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.45
Switzerland,CHE,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.41
Switzerland,CHE,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.7
Switzerland,CHE,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.52
Switzerland,CHE,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.5
Switzerland,CHE,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.14
Switzerland,CHE,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,31.5
Switzerland,CHE,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.63
Switzerland,CHE,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.85
Switzerland,CHE,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.36
Switzerland,CHE,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.03
Switzerland,CHE,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.8
Switzerland,CHE,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.56
Switzerland,CHE,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.24
Switzerland,CHE,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.75
Switzerland,CHE,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.55
Switzerland,CHE,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.61
Switzerland,CHE,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.88
