Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Poland,POL,2012,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,3
Poland,POL,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.58
Poland,POL,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.54
Poland,POL,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.33
Poland,POL,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.97
Poland,POL,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.22
Poland,POL,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.71
Poland,POL,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.63
Poland,POL,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.21
Poland,POL,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,10.6
Poland,POL,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.17
Poland,POL,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,18.41
Poland,POL,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,18.28
Poland,POL,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,17.63
Poland,POL,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,16.74
Poland,POL,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,14.55
Poland,POL,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.85222082210651
Poland,POL,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,4.83864140126944
Poland,POL,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,3.95535422060168
Poland,POL,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,3.94572545498486
Poland,POL,2021,Number of infant deaths,SH.DTH.IMRT,1371
Poland,POL,2020,Number of infant deaths,SH.DTH.IMRT,1410
Poland,POL,2019,Number of infant deaths,SH.DTH.IMRT,1482
Poland,POL,2018,Number of infant deaths,SH.DTH.IMRT,1570
Poland,POL,2017,Number of infant deaths,SH.DTH.IMRT,1597
Poland,POL,2016,Number of infant deaths,SH.DTH.IMRT,1578
Poland,POL,2015,Number of infant deaths,SH.DTH.IMRT,1608
Poland,POL,2014,Number of infant deaths,SH.DTH.IMRT,1659
Poland,POL,2013,Number of infant deaths,SH.DTH.IMRT,1739
Poland,POL,2012,Number of infant deaths,SH.DTH.IMRT,1857
Poland,POL,2011,Number of infant deaths,SH.DTH.IMRT,2007
Poland,POL,2010,Number of infant deaths,SH.DTH.IMRT,2166
Poland,POL,2009,Number of infant deaths,SH.DTH.IMRT,2277
Poland,POL,2008,Number of infant deaths,SH.DTH.IMRT,2336
Poland,POL,2007,Number of infant deaths,SH.DTH.IMRT,2348
Poland,POL,2006,Number of infant deaths,SH.DTH.IMRT,2368
Poland,POL,2005,Number of infant deaths,SH.DTH.IMRT,2386
Poland,POL,2004,Number of infant deaths,SH.DTH.IMRT,2428
Poland,POL,2003,Number of infant deaths,SH.DTH.IMRT,2516
Poland,POL,2002,Number of infant deaths,SH.DTH.IMRT,2680
Poland,POL,2001,Number of infant deaths,SH.DTH.IMRT,2878
Poland,POL,2000,Number of infant deaths,SH.DTH.IMRT,3055
Poland,POL,1999,Number of infant deaths,SH.DTH.IMRT,3332
Poland,POL,1998,Number of infant deaths,SH.DTH.IMRT,3768
Poland,POL,1997,Number of infant deaths,SH.DTH.IMRT,4318
Poland,POL,1996,Number of infant deaths,SH.DTH.IMRT,4931
Poland,POL,1995,Number of infant deaths,SH.DTH.IMRT,5718
Poland,POL,1994,Number of infant deaths,SH.DTH.IMRT,6457
Poland,POL,1993,Number of infant deaths,SH.DTH.IMRT,6953
Poland,POL,1992,Number of infant deaths,SH.DTH.IMRT,7552
Poland,POL,1991,Number of infant deaths,SH.DTH.IMRT,8004
Poland,POL,1990,Number of infant deaths,SH.DTH.IMRT,8340
Poland,POL,1989,Number of infant deaths,SH.DTH.IMRT,8905
Poland,POL,1988,Number of infant deaths,SH.DTH.IMRT,9534
Poland,POL,1987,Number of infant deaths,SH.DTH.IMRT,10224
Poland,POL,1986,Number of infant deaths,SH.DTH.IMRT,11193
Poland,POL,1985,Number of infant deaths,SH.DTH.IMRT,12194
Poland,POL,1984,Number of infant deaths,SH.DTH.IMRT,13047
Poland,POL,1983,Number of infant deaths,SH.DTH.IMRT,13556
Poland,POL,1982,Number of infant deaths,SH.DTH.IMRT,13614
Poland,POL,1981,Number of infant deaths,SH.DTH.IMRT,13901
Poland,POL,1980,Number of infant deaths,SH.DTH.IMRT,14411
Poland,POL,1979,Number of infant deaths,SH.DTH.IMRT,14654
Poland,POL,1978,Number of infant deaths,SH.DTH.IMRT,14928
Poland,POL,1977,Number of infant deaths,SH.DTH.IMRT,15443
Poland,POL,1976,Number of infant deaths,SH.DTH.IMRT,15661
Poland,POL,1975,Number of infant deaths,SH.DTH.IMRT,15568
Poland,POL,1974,Number of infant deaths,SH.DTH.IMRT,15650
Poland,POL,1973,Number of infant deaths,SH.DTH.IMRT,15880
Poland,POL,1972,Number of infant deaths,SH.DTH.IMRT,16271
Poland,POL,1971,Number of infant deaths,SH.DTH.IMRT,16703
Poland,POL,1970,Number of infant deaths,SH.DTH.IMRT,16982
Poland,POL,1969,Number of infant deaths,SH.DTH.IMRT,17190
Poland,POL,1968,Number of infant deaths,SH.DTH.IMRT,17536
Poland,POL,1967,Number of infant deaths,SH.DTH.IMRT,18347
Poland,POL,1966,Number of infant deaths,SH.DTH.IMRT,19904
Poland,POL,1965,Number of infant deaths,SH.DTH.IMRT,22019
Poland,POL,1964,Number of infant deaths,SH.DTH.IMRT,24537
Poland,POL,1963,Number of infant deaths,SH.DTH.IMRT,27220
Poland,POL,1962,Number of infant deaths,SH.DTH.IMRT,30227
Poland,POL,1961,Number of infant deaths,SH.DTH.IMRT,34384
Poland,POL,1960,Number of infant deaths,SH.DTH.IMRT,39851
Poland,POL,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.24088228218582
Poland,POL,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.78514009020142
Poland,POL,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.03720414903758
Poland,POL,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.76408055010414
Poland,POL,2021,Number of under-five deaths,SH.DTH.MORT,1614
Poland,POL,2020,Number of under-five deaths,SH.DTH.MORT,1654
Poland,POL,2019,Number of under-five deaths,SH.DTH.MORT,1728
Poland,POL,2018,Number of under-five deaths,SH.DTH.MORT,1818
Poland,POL,2017,Number of under-five deaths,SH.DTH.MORT,1849
Poland,POL,2016,Number of under-five deaths,SH.DTH.MORT,1837
Poland,POL,2015,Number of under-five deaths,SH.DTH.MORT,1878
Poland,POL,2014,Number of under-five deaths,SH.DTH.MORT,1943
Poland,POL,2013,Number of under-five deaths,SH.DTH.MORT,2037
Poland,POL,2012,Number of under-five deaths,SH.DTH.MORT,2167
Poland,POL,2011,Number of under-five deaths,SH.DTH.MORT,2326
Poland,POL,2010,Number of under-five deaths,SH.DTH.MORT,2491
Poland,POL,2009,Number of under-five deaths,SH.DTH.MORT,2607
Poland,POL,2008,Number of under-five deaths,SH.DTH.MORT,2674
Poland,POL,2007,Number of under-five deaths,SH.DTH.MORT,2696
Poland,POL,2006,Number of under-five deaths,SH.DTH.MORT,2726
Poland,POL,2005,Number of under-five deaths,SH.DTH.MORT,2758
Poland,POL,2004,Number of under-five deaths,SH.DTH.MORT,2817
Poland,POL,2003,Number of under-five deaths,SH.DTH.MORT,2924
Poland,POL,2002,Number of under-five deaths,SH.DTH.MORT,3112
Poland,POL,2001,Number of under-five deaths,SH.DTH.MORT,3339
Poland,POL,2000,Number of under-five deaths,SH.DTH.MORT,3555
Poland,POL,1999,Number of under-five deaths,SH.DTH.MORT,3888
Poland,POL,1998,Number of under-five deaths,SH.DTH.MORT,4399
Poland,POL,1997,Number of under-five deaths,SH.DTH.MORT,5045
Poland,POL,1996,Number of under-five deaths,SH.DTH.MORT,5775
Poland,POL,1995,Number of under-five deaths,SH.DTH.MORT,6679
Poland,POL,1994,Number of under-five deaths,SH.DTH.MORT,7508
Poland,POL,1993,Number of under-five deaths,SH.DTH.MORT,8076
Poland,POL,1992,Number of under-five deaths,SH.DTH.MORT,8737
Poland,POL,1991,Number of under-five deaths,SH.DTH.MORT,9258
Poland,POL,1990,Number of under-five deaths,SH.DTH.MORT,9684
Poland,POL,1989,Number of under-five deaths,SH.DTH.MORT,10344
Poland,POL,1988,Number of under-five deaths,SH.DTH.MORT,11069
Poland,POL,1987,Number of under-five deaths,SH.DTH.MORT,11851
Poland,POL,1986,Number of under-five deaths,SH.DTH.MORT,12890
Poland,POL,1985,Number of under-five deaths,SH.DTH.MORT,13947
Poland,POL,1984,Number of under-five deaths,SH.DTH.MORT,14849
Poland,POL,1983,Number of under-five deaths,SH.DTH.MORT,15399
Poland,POL,1982,Number of under-five deaths,SH.DTH.MORT,15498
Poland,POL,1981,Number of under-five deaths,SH.DTH.MORT,15821
Poland,POL,1980,Number of under-five deaths,SH.DTH.MORT,16357
Poland,POL,1979,Number of under-five deaths,SH.DTH.MORT,16622
Poland,POL,1978,Number of under-five deaths,SH.DTH.MORT,16913
Poland,POL,1977,Number of under-five deaths,SH.DTH.MORT,17418
Poland,POL,1976,Number of under-five deaths,SH.DTH.MORT,17606
Poland,POL,1975,Number of under-five deaths,SH.DTH.MORT,17494
Poland,POL,1974,Number of under-five deaths,SH.DTH.MORT,17580
Poland,POL,1973,Number of under-five deaths,SH.DTH.MORT,17841
Poland,POL,1972,Number of under-five deaths,SH.DTH.MORT,18286
Poland,POL,1971,Number of under-five deaths,SH.DTH.MORT,18795
Poland,POL,1970,Number of under-five deaths,SH.DTH.MORT,19169
Poland,POL,1969,Number of under-five deaths,SH.DTH.MORT,19483
Poland,POL,1968,Number of under-five deaths,SH.DTH.MORT,19957
Poland,POL,1967,Number of under-five deaths,SH.DTH.MORT,20944
Poland,POL,1966,Number of under-five deaths,SH.DTH.MORT,22742
Poland,POL,1965,Number of under-five deaths,SH.DTH.MORT,25165
Poland,POL,1964,Number of under-five deaths,SH.DTH.MORT,28059
Poland,POL,1963,Number of under-five deaths,SH.DTH.MORT,31183
Poland,POL,1962,Number of under-five deaths,SH.DTH.MORT,34691
Poland,POL,1961,Number of under-five deaths,SH.DTH.MORT,39377
Poland,POL,1960,Number of under-five deaths,SH.DTH.MORT,45385
Poland,POL,2019,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,89.906897649352
Poland,POL,2015,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.3762185546728
Poland,POL,2010,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.0074379648155
Poland,POL,2000,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,89.2901926794164
Poland,POL,2021,Number of neonatal deaths,SH.DTH.NMRT,1005
Poland,POL,2020,Number of neonatal deaths,SH.DTH.NMRT,1023
Poland,POL,2019,Number of neonatal deaths,SH.DTH.NMRT,1051
Poland,POL,2018,Number of neonatal deaths,SH.DTH.NMRT,1108
Poland,POL,2017,Number of neonatal deaths,SH.DTH.NMRT,1145
